"gene","PID_ATF2_PATHWAY"
"ATP5H",0
"ME1",0
"ME3",0
"ME2",0
"ATP5B",0
"GNAI2",0
"GNAI3",0
"ATP5E",0
"GNAI1",0
"ZNF213",0
"TBK1",0
"MPZL1",0
"AURKAIP1",0
"SLC7A9",0
"AFMID",0
"SLC7A6",0
"HLA-B",0
"CITED2",0
"PFDN1",0
"DAGLB",0
"PFDN5",0
"PFDN4",0
"PFDN6",0
"MTHFR",0
"SLC7A3",0
"POMC",0
"ACHE",1
"CSNK1A1L",0
"RIN1",0
"RIN2",0
"WWOX",0
"TOMM20",0
"RPS13",0
"RPS12",0
"RPS11",0
"RPS10",0
"RPS15",0
"RPS14",0
"PGS1",0
"RIPK1",0
"LATS2",0
"DDOST",0
"LAMA5",0
"SLC9A3R2",0
"SLC9A3R1",0
"ZNF419",0
"ZNF418",0
"ZNF417",0
"ZNF416",0
"ZNF415",0
"RRAGD",0
"RRAGA",0
"RRAGC",0
"RRAGB",0
"GGT1",0
"GGT7",0
"GGT5",0
"RASA1",0
"RASA2",0
"ACTN3",0
"ACTN1",0
"PTCH1",0
"NGFRAP1",0
"ACTN4",0
"CLP1",0
"EZR",0
"PTPRF",0
"PTPRE",0
"PTPRC",0
"PTPRB",0
"PTPRA",0
"UBE3C",0
"PTPRO",0
"PTPRN",0
"PTPRM",0
"PTPRK",0
"PTPRJ",0
"CPD",0
"MMP17",0
"CYP46A1",0
"RTN4R",0
"TFE3",0
"RNASEH1",0
"ABLIM1",0
"ABLIM3",0
"ABLIM2",0
"HMGN1",0
"ATP6V1E1",0
"MX2",0
"RAB6A",0
"MX1",0
"B3GAT3",0
"ACVRL1",0
"TAF1L",0
"IFIT3",0
"IFIT2",0
"IFIT1",0
"EFTUD2",0
"ISG15",0
"ZFP28",0
"CACNA1I",0
"GDI2",0
"GDI1",0
"CBY1",0
"PSAP",0
"APITD1",0
"GABRD",0
"IL15RA",0
"EIF4A3",0
"KRT18",0
"SLC26A6",0
"TLE3",0
"PAG1",0
"TLE1",0
"TLE4",0
"SPTA1",0
"HGSNAT",0
"CDC6",0
"TNFSF13B",0
"COX5B",0
"TFPI",0
"NAT1",0
"GLO1",0
"FAIM2",0
"CCBL1",0
"CCBL2",0
"KCNC4",0
"SDC3",0
"COX5A",0
"KCNC3",0
"TH1L",0
"NGFR",0
"CPSF7",0
"CPSF6",0
"CPSF3",0
"CPSF2",0
"CPSF1",0
"MAD1L1",0
"ACAA2",0
"ACAA1",0
"ELOVL5",0
"ARIH2",0
"LTBP1",0
"EPS15",0
"CEP164",0
"SUFU",0
"PLA2G4C",0
"PLA2G4B",0
"PLA2G4A",0
"CRAT",0
"MBD4",0
"MBD3",0
"MBD2",0
"CMTM2",0
"LOC653566",0
"COL11A2",0
"SLC25A17",0
"SLC25A16",0
"KIAA1429",0
"SLC25A13",0
"SLC25A12",0
"SLC25A11",0
"TUBA3D",0
"NDUFA10",0
"NDUFA11",0
"NDUFA12",0
"NDUFA13",0
"RYBP",0
"SYNCRIP",0
"DYNLRB1",0
"HSD17B4",0
"VIM",0
"GNG7",0
"GNG5",0
"DBF4",0
"GNG3",0
"HSD17B7",0
"ALG8",0
"ALG9",0
"STAR",0
"FUS",0
"ALG2",0
"ALG3",0
"ALG1",0
"ALG6",0
"ALG5",0
"SMARCE1",0
"COX6B1",0
"COX6B2",0
"STAM",0
"FUK",0
"SLC17A5",0
"ARIH1",0
